Title,company,location,job_type,Experience_level,Experience_year,categories,department,Number_of_skills
Project Engineer,Agile Consultants,Dubai,Full Time,Entry Level,Unknown,Engineering - Construction/Civil/Architecture,Engineering - Mechanical/Electrical,7
AFC Team Leader,Keolis.MHI,Dubai,Full Time,Experienced,Unknown,IT/Software Development,Engineering - Telecom/Technology,7
Social Media and Events Lead,RemotePass,Dubai,Full Time,Experienced,Unknown,Business Development,Media/Journalism/Publishing,7
Project Leader Mfd,Asmacs Qatar,Riyadh,Full Time,Experienced,Unknown,IT/Software Development,Engineering - Telecom/Technology,7
UAE national_ Asst Manager Technology innovation & Governance | Corporate Services | GTDP,Al-Futtaim Automotive - الفطيم للسيارات,Dubai,Full Time,Experienced,Unknown,Business Development,Marketing/PR/Advertising,7
Project Manager (Civil Defense),Energy Job Search,Dubai,Full Time,Experienced,Unknown,Engineering - Construction/Civil/Architecture,Project/Program Management,7
Area Sales Manager,Glow Beauty on Demand,Dubai,Freelance / Project,Experienced,Unknown,Customer Service/Support,Sales/Retail,7
Receptionist-Operations-Region Management-Club Management-CX,وقت اللياقة - Fitness Time,Riyadh,Full Time,Entry Level,Unknown,Operations/Management,Sales/Retail,6
Manager of Sales,Sada jobs,Riyadh,Full Time,Experienced,Unknown,Customer Service/Support,Sales/Retail,7
QC Engineers,Asmacs Qatar,Riyadh,Full Time,Entry Level,Unknown,IT/Software Development,Engineering - Telecom/Technology,7
Senior Housing Manager,Parsons Corporation,Riyadh,Full Time,Experienced,Unknown,IT/Software Development,Sales/Retail,7
Marketing Manager,HAALA | Energy,Makkah,Full Time,Experienced,Unknown,Marketing/PR/Advertising,Media/Journalism/Publishing,7
Project Manager TA,Asmacs Qatar,Riyadh,Full Time,Entry Level,Unknown,Engineering - Construction/Civil/Architecture,Project/Program Management,7
Performance & Career Management Manager,Zahid Group,Makkah,Full Time,Experienced,Unknown,Human Resources,Engineering - Telecom/Technology,7
"Humanities Teacher, GLOBAL RECRUITMENT SOLUTIONS",Guardian Jobs,Riyadh,Freelance / Project,Entry Level,Unknown,Human Resources,Education/Teaching,7
"Science Teacher, GLOBAL RECRUITMENT SOLUTIONS",Guardian Jobs,Riyadh,Freelance / Project,Entry Level,Unknown,IT/Software Development,Education/Teaching,7
Junior Communications Executive - PR & Campaigns,Greenfix Property Care,Dubai,Full Time,Experienced,Unknown,Business Development,Sales/Retail,7
Senior Pega Architect - KYC/CLM for Banking,Glow Beauty on Demand,Dubai,Full Time,Experienced,Unknown,Engineering - Construction/Civil/Architecture,IT/Software Development,7
Project Engineer,Parsons Corporation,Riyadh,Full Time,Entry Level,Unknown,Engineering - Construction/Civil/Architecture,Engineering - Mechanical/Electrical,7
Project Engineer (Fit-Out ),PLAN A,Riyadh,Full Time,Entry Level,Unknown,Engineering - Construction/Civil/Architecture,Engineering - Mechanical/Electrical,7
Sales Representative,Zimmer Biomet,Makkah,Full Time,Entry Level,Unknown,Customer Service/Support,Sales/Retail,7
PR Executive,INSIDE IDEAS GROUP LTD,Dubai,Full Time,Experienced,Unknown,Business Development,Media/Journalism/Publishing,7
Experience Design Lead,AKQA,Dubai,Full Time,Experienced,Unknown,Creative/Design/Art,Engineering - Telecom/Technology,7
Quality Assurance Officer,Energy Job Search,Riyadh,Full Time,Entry Level,Unknown,IT/Software Development,Engineering - Telecom/Technology,7
Senior Project Manager - Education ( Del 417),Energy Job Search,Riyadh,Full Time,Experienced,Unknown,Engineering - Construction/Civil/Architecture,Project/Program Management,7
Senior Change Manager | Group Tech & Dig Platforms | Corporate Services,Al-Futtaim Automotive - الفطيم للسيارات,Dubai,Full Time,Experienced,Unknown,Business Development,Marketing/PR/Advertising,7
PMC Project Manager - Island ( Offshore Project,Energy Job Search,Dubai,Full Time,Experienced,Unknown,Engineering - Construction/Civil/Architecture,Project/Program Management,7
Java,Glow Beauty on Demand,Dubai,Full Time,Entry Level,Unknown,IT/Software Development,Engineering - Telecom/Technology,7
Car Sales Executive,ALBA CORP,Dubai,Full Time,Experienced,Unknown,Business Development,Sales/Retail,7
Project Manager,Energy Job Search,Dubai,Full Time,Entry Level,Unknown,Engineering - Construction/Civil/Architecture,Project/Program Management,7
