Title,company,location,job_type,Experience_level,Experience_year,categories,department,Number_of_skills
Purchase Specialist,El-Soadaa Group,Maadi,Full Time,Experienced,3.0,Purchasing/Procurement,Negotiation,5
Integration Support Engineer - Alexandria,ISFP,Gomrok,Full Time,Experienced,1.0,Customer Service/Support,IT/Software Development,8
Social Media Account Manger,IMP-Imagine,Obour City,Full Time,Entry Level,Unknown,Marketing/PR/Advertising,Social Media,1
Brand Marketing Manager,El Banna Group Company,10th of Ramadan City,Full Time,Manager,Unknown,Marketing/PR/Advertising,Marketing/PR/Advertising,9
Warehouse Manager,Good Seal Packaging,10th of Ramadan City,Full Time,Manager,Unknown,Logistics/Supply Chain,Operations/Management,6
Sales Account Manager,Silicon21,New Cairo,Full Time,Experienced,2.0,Sales/Retail,Sales,3
Purchasing Officer,3MAS,Wosta,Full Time,Experienced,3.0,Administration,Procurement,2
Media Buyer / Performance,Essence Adverts,Maadi,Full Time,Experienced,Unknown,Marketing/PR/Advertising,Media/Journalism/Publishing,8
Real Estate Sales Team Leader,RITZY Developments,Obour City,Full Time,Manager,3.0,Customer Service/Support,Operations/Management,8
Human Resource Administrative Assistant,The Name MEA,New Cairo,Full Time,Entry Level,3.0,Administration,Human Resources,4
M&A Analyst (Sell-Side),Confidential,New York City,Full Time,Experienced,Unknown,Accounting/Finance,excel,4
Senior Network & System Admin,Shabana Group,Nasr City,Full Time,Experienced,3.0,Installation/Maintenance/Repair,IT/Software Development,8
Digital Marketing Manager,ALAS HOME,10th of Ramadan City,Full Time,Manager,5.0,Marketing/PR/Advertising,Media/Journalism/Publishing,8
Product Development Specialist- Travel,Safa International Travel,Dokki,Full Time,Experienced,2.0,Business Development,Operations/Management,6
Local Procurement Specialist,Elsewedy industries,10th of Ramadan City,Full Time,Entry Level,1.0,Logistics/Supply Chain,Procurement,3
B2B Sales Executive,Taalab,Obour City,Full Time,Experienced,2.0,Business Development,Sales/Retail,8
Infection Control & Quality Specialist (Dentist),Shiny White Dental Center,Cairo,Full Time,Experienced,2.0,R&D/Science,Medical/Healthcare,8
District Manager - Dakahlia,Orthomedics,Dakahlia,Full Time,Manager,3.0,Medical/Healthcare,Sales/Retail,8
Sales Engineer,Misr International Systems,Giza,Full Time,Experienced,3.0,IT/Software Development,Sales/Retail,8
Engagement Specialist,Amreyah Cement,Nasr City,Full Time,Entry Level,1.0,Human Resources,Employee Engagement,7
IT System Admin,Delta Egypt For Lighting,Obour City,Full Time,Experienced,2.0,IT/Software Development,Computer Science,6
Textile QA Auditor,"Shanghai Sunwin Industry Group Co., Ltd.",Shubra,Full Time,Manager,5.0,Logistics/Supply Chain,Logistics/Supply Chain,9
senior Payroll & Personnel Specialist,Capital hills development,6th of October,Full Time,Experienced,5.0,Human Resources,Microsoft Excel,3
Mechanical Engineer,Confidential,Tebin,Full Time,Experienced,4.0,Installation/Maintenance/Repair,Installation/Maintenance/Repair,9
Senior Receivables Accountant,Premium Card,Dokki,Full Time,Experienced,3.0,Accounting/Finance,Accounting,8
Telesales Agent,GFM EGYPT,Maadi,Full Time,Entry Level,1.0,Sales/Retail,Sales/Retail,6
Assistant Procurement,CSCEC STEEL EGYPT,Suez,Full Time,Entry Level,3.0,Manufacturing/Production,Procurement,2
Digital Marketing Manager,HiRemoters,Cairo,Full Time,Experienced,2.0,Marketing/PR/Advertising,Media/Journalism/Publishing,8
Sales Manager,Al Amal Co. for Trade & Agencies,6th of October,Full Time,Manager,5.0,Business Development,Marketing/PR/Advertising,11
Corporate Sales Manager |Catering Sales Manager,Confidential,Heliopolis,Full Time,Experienced,Unknown,Business Development,Operations/Management,8
Backend Developer,Osolutions,Nasr City,Full Time,Experienced,1.0,IT/Software Development,Backend Development,1
Medical Sales Manager,JAt Medical,Riyadh,Full Time,Senior Management,5.0,Customer Service/Support,Medical/Healthcare,6
HR Organization Development internship - Graduates,Prometeon tyres group – Egypt,Ameria,Internship,Entry Level,0.0,Human Resources,Human Resources (HR),7
Accountant,flyadeal Egypt,Sohag,Full Time,Entry Level,1.0,Accounting/Finance,Accounting/Finance,4
Quality Manager,Confidential,6th of October,Full Time,Manager,3.0,Quality,Excellent leadership,3
Telemarketing - German Speaker,Ashdud,New Cairo,Full Time,Experienced,Unknown,Marketing/PR/Advertising,Customer Service,2
Senior Sales Manager (Remote) | EdTech,zuwad academy,New Cairo,Full Time,Manager,Unknown,Customer Service/Support,Sales/Retail,8
Receptionist,Dabur,New Cairo,Full Time,Entry Level,3.0,Administration,Reception management,4
Accounts Receivable Arabic & English,Genpact,Cairo,Full Time,Entry Level,0.0,Accounting/Finance,Account Reconciliation,7
Junior Accountant,Arma-HSA,New Cairo,Full Time,Entry Level,1.0,Accounting/Finance,Administration,4
Receptionist,Capital hills development,6th of October,Full Time,Experienced,2.0,Administration,Business Development,8
IT Specialist,Confidential,Downtown,Full Time,Experienced,Unknown,IT/Software Development,Technical Support,8
Accountant (Airlines),ema tours,Sheraton,Full Time,Experienced,3.0,Accounting/Finance,Administration,6
Digital Marketing Coordinator,Cleopatra Travel,Cairo,Full Time,Experienced,Unknown,Marketing/PR/Advertising,Media/Journalism/Publishing,7
B2B Sales Manager,Confidential,Dokki,Full Time,Manager,Unknown,Business Development,Logistics/Supply Chain,8
Pre Approvals Specialist,Cleopatra Hospitals Group,Maadi,Full Time,Entry Level,1.0,Medical/Healthcare,#Pre Approvals,4
Customer Service Supervisor,Buy and Go,Maadi,Full Time,Manager,3.0,Customer Service/Support,Customer Service/Support,5
Oracle Database Administrator,Egabi FSI,Sheraton,Full Time,Experienced,Unknown,IT/Software Development,Engineering - Telecom/Technology,8
Head Of Finance.,PAFT,6th of October,Full Time,Senior Management,7.0,Accounting/Finance,Operations/Management,8
Payable / Receivable Accountant,Vivo Egypt,Maadi,Full Time,Experienced,2.0,Accounting/Finance,Banking,8
General Accountant,Brand Connection,New Cairo,Full Time,Experienced,3.0,Accounting/Finance,Financial Reporting,6
Maintenance Planning Engineer,Egyptian Starch and Glucose  Manufacturing Company,Musturad,Full Time,Experienced,3.0,Engineering - Construction/Civil/Architecture,Engineering - Construction/Civil/Architecture,11
Accountant,ICABINETS GROUP FOR INDUSTRIAL INVESTMENT,Ain Sokhna,Full Time,Experienced,2.0,Accounting/Finance,Banking,8
Merchandising Supervisor,B.TECH,Nasr City,Full Time,Manager,2.0,Sales/Retail,Merchandising,8
CRM Developer,Confidential,Cairo,Full Time,Experienced,2.0,Business Development,IT/Software Development,8
Junior Mechanical Engineer,Alex Apparels for Garment Manufacturing,Ameria,Full Time,Entry Level,0.0,Installation/Maintenance/Repair,Engineering - Mechanical/Electrical,8
Budgeting & Reporting Specialist,ICON Holding,Helwan,Full Time,Entry Level,0.0,Accounting/Finance,Analyst/Research,8
Internal Audit Specialist,Mersal,Maadi,Full Time,Experienced,Unknown,Accounting/Finance,Audit,8
planning specialist,Orchidia Pharmaceutical Industries,Obour City,Full Time,Experienced,1.0,Pharmaceutical,Production Planning,3
Digital Marketing Manager | E-Commerce,OLAGLORY GENERAL TRADING,6th of October,Full Time,Manager,5.0,Marketing/PR/Advertising,Media/Journalism/Publishing,8
Branch Accountant - Ismailia,B.TECH,Ismailia,Full Time,Entry Level,0.0,Accounting/Finance,Accounting,6
Branch Accountant - Alex,B.TECH,Alexandria,Full Time,Entry Level,0.0,Accounting/Finance,Accounting,6
Branch Accountant - fayoom,B.TECH,Fayoum,Full Time,Entry Level,0.0,Accounting/Finance,Accounting,5
Branch Accountant - Cairo,B.TECH,Cairo,Full Time,Entry Level,0.0,Accounting/Finance,Accounting,6
CEO Personal Assistant,Globalize Group,Dokki,Full Time,Entry Level,1.0,Administration,Calendar management,8
Accounting Supervisor,Al Ahly Medical Company,Giza,Full Time,Manager,Unknown,Accounting/Finance,Financial Reporting,8
Customer Service Manager - Real Estate,Confidential,New Cairo,Full Time,Manager,Unknown,Business Development,Customer Service/Support,7
Accounting Manager / accountant,Duvia Tourism,Cairo,Full Time,Experienced,3.0,Accounting/Finance,Hospitality/Hotels/Food Services,8
HR Officer,Al Ahly Mortgage Finance,Sheikh Zayed,Full Time,Experienced,2.0,Human Resources,Recruitment & Selection,8
General Accountant,Mozare3,6th of October,Full Time,Experienced,2.0,Accounting/Finance,Financial reporting,3
Logistic Coordinator,Frutal for Food Industries,Heliopolis,Full Time,Experienced,3.0,Logistics/Supply Chain,Logistics Coordination,2
Graphic Designer 2-3 Years Experience,TAG-Marketing Consulting LLC,Maadi,Full Time,Experienced,Unknown,Marketing/PR/Advertising,Adobe Creative Suite,7
District Manager,Orthomedics,Cairo,Full Time,Manager,3.0,Medical/Healthcare,Sales/Retail,8
Junior Financial Auditor,System Technique,Abu Rawash,Full Time,Experienced,2.0,Accounting/Finance,Accounting,5
Purchasing Officer,"ELVAN Knitting, Dyeing and finishing S.A.E",Bourj Alarab,Full Time,Entry Level,1.0,Administration,Administration,5
Marketing Manager,Confidential,Nasr City,Full Time,Manager,6.0,R&D/Science,R&D/Science,8
Production Engineer,Asia Furniture,Badr City,Full Time,Entry Level,0.0,Manufacturing/Production,production - engineering,1
Sales Manager - Textile Industry,Stufflink,Mohandessin,Full Time,Manager,5.0,Sales/Retail,Client Relationship Management,4
Accountant,B.TECH,Cairo,Full Time,Entry Level,0.0,Accounting/Finance,Accounting,2
Product Designer,iDen2,San Francisco,Full Time,Experienced,Unknown,Creative/Design/Art,IT/Software Development,6
Junior Accountant,Sprints.ai,Maadi,Full Time,Experienced,Unknown,Accounting/Finance,Banking,8
HR Manager,BoHub,Dokki,Full Time,Manager,2.0,Administration,Human Resources,8
Executive assistant,empire exports,Cairo,Full Time,Entry Level,1.0,Administration,Operations/Management,3
Graphic Designer Specialist,Orchidia Pharmaceutical Industries,Obour City,Full Time,Experienced,1.0,Creative/Design/Art,Marketing/PR/Advertising,5
Product Specialist,JAt Medical,Riyadh,Full Time,Experienced,3.0,Medical/Healthcare,Sales/Retail,5
Quality Control Manager,TEPCO S.A.E.,Obour City,Full Time,Manager,10.0,Quality,Engineering - Other,5
Reservation Supervisor,Royal Regency Hotel,New Cairo,Full Time,Entry Level,1.0,Hospitality/Hotels/Food Services,Reservation Management,6
Business Development Commercial Coordinator,Linrco Egypt,Nasr City,Full Time,Experienced,3.0,Administration,Administration,8
Finance Officer - Procure to Pay,Almosafer,Mohandessin,Full Time,Entry Level,1.0,Accounting/Finance,Invoice Processing,8
Supervisor Merchandising - SDA (Small Domestic Appliances),Aman,Maadi,Full Time,Manager,3.0,Logistics/Supply Chain,Operations/Management,8
Call Center Agent,HealPath,Maadi,Full Time,Entry Level,1.0,Customer Service/Support,Call Center,2
Receptionist (Front Desk),ADC-Architecture&Design Consultants,Sheikh Zayed,Full Time,Experienced,2.0,Administration,Administration,1
General Ledger Accountant,OPPO Egypt,Nasr City,Full Time,Entry Level,1.0,Accounting/Finance,customer accounts,6
Admin & Facilities Associate,Axios International,Dokki,Full Time,Entry Level,Unknown,Administration,Medical/Healthcare,7
Sales Team Leader,OYA,6th of October,Full Time,Experienced,5.0,Business Development,Operations/Management,8
Senior System Administrator,Confidential,Giza,Full Time,Experienced,4.0,Installation/Maintenance/Repair,IT/Software Development,8
Senior Business Analyst,Egabi FSI,Sheraton,Full Time,Experienced,Unknown,IT/Software Development,Analyst/Research,8
Supply Chain Control Tower Lead,Arma-HSA,Cairo,Full Time,Experienced,3.0,Logistics/Supply Chain,Supply Chain Management,4
UX Developer,Cleopatra Hospitals Group,Maadi,Full Time,Experienced,2.0,Creative/Design/Art,IT/Software Development,7
Team Leader - English BPO,Intouch CX,Maadi,Full Time,Entry Level,1.0,Customer Service/Support,Team Leadership,6
Treasury Assistant officer/ Officer,Dabur,New Cairo,Full Time,Entry Level,1.0,Accounting/Finance,Accounting,3
CRM Manager ( Background 3PL ),Marbella For Food Industry,6th of October,Full Time,Manager,Unknown,Customer Service/Support,Logistics/Supply Chain,5
Full Stack Developer - PHP & Laravel,Softxpert Incorporation,Bolkly,Full Time,Experienced,2.0,IT/Software Development,Computer Science,8
Sales Account Manager,Petapen,Sheikh Zayed,Full Time,Experienced,3.0,Sales/Retail,Client Relationship Building,4
Casting Supervisor,Arab Otsuka Nutraceuticals,Sharqia,Full Time,Experienced,5.0,Accounting/Finance,Cost Control,1
Accounting Manager,Sprint Trading,Cairo,Full Time,Manager,6.0,Accounting/Finance,Financial Reporting,6
Receptionist,Tristar Cargo System,Sheraton,Full Time,Experienced,2.0,Administration,Administration,9
Cutting & Press Engineer,Mobica,Abu Rawash,Full Time,Entry Level,Unknown,Manufacturing/Production,Cutting and Pressing Machine Operation,3
General Accountant,Orouba Misr,Smouha,Full Time,Entry Level,2.0,Accounting/Finance,General ledger management,3
Administration Supervisor,Beta Developments,Heliopolis,Full Time,Manager,5.0,Administration,Administration,8
Payable Accountant,Egypt University of Informatics (EUI),New Capital,Full Time,Experienced,2.0,Accounting/Finance,Banking,5
Technical Office Engineer – Furniture Design,Arias Egypt,Cairo,Full Time,Entry Level,0.0,Engineering - Construction/Civil/Architecture,Engineering - Construction/Civil/Architecture,7
Junior Electrical Maintenance Engineer,Confidential,Giza,Full Time,Entry Level,1.0,Engineering - Mechanical/Electrical,Communication,2
HR Administrator,Do deal,New Cairo,Full Time,Experienced,2.0,Human Resources,Marketing/PR/Advertising,8
General Accountant ( invoicing),Linrco Egypt,Nasr City,Full Time,Entry Level,0.0,Accounting/Finance,Banking,2
People and Culture Manager,Nuxera Health Tech,Cairo,Full Time,Manager,10.0,Human Resources,Employee engagement,4
Quality Control Manager,Green Mass,New Cairo,Full Time,Manager,7.0,Engineering - Construction/Civil/Architecture,Quality Control,2
Arch Design Engineer,EGEC,Haram,Full Time,Experienced,3.0,Engineering - Construction/Civil/Architecture,Creative/Design/Art,8
Flutter Developer,Quadro cloud,6th of October,Full Time,Entry Level,0.0,IT/Software Development,Engineering - Telecom/Technology,5
Senior Talent Acquisition Specialist,Al Rabat,New Cairo,Full Time,Experienced,3.0,Human Resources,Human Resources,5
Junior Accountant,PRO-TEC Egypt,Sheraton,Full Time,Entry Level,0.0,Accounting/Finance,Accounting,8
Human Resources Generalist,Qebaa,New Nozha,Full Time,Experienced,2.0,Human Resources,Human Resources Management,5
Receivables Accountant,Confidential,6th of October,Full Time,Experienced,3.0,Accounting/Finance,Commerce,7
Accountant,Top Chemical for Pesticides and Specialized Chemicals,Bourj Alarab,Full Time,Entry Level,1.0,Accounting/Finance,Administration,3
Compensation and Benefits Senior Specialist,Fine seeds Int.,Agouza,Full Time,Experienced,3.0,Accounting/Finance,Administration,6
Financial Manager,Gandofly Seafood Restaurant,Cairo,Full Time,Experienced,Unknown,Accounting/Finance,Hospitality/Hotels/Food Services,8
Marketer,Movin Stay,Sheraton,Full Time,Entry Level,0.0,Marketing/PR/Advertising,Digital Marketing,3
Costing Accountant,FRIDAL,6th of October,Full Time,Experienced,3.0,Accounting/Finance,Accounting,4
Call Center Agent,Second Step,Cairo,Full Time,Entry Level,Unknown,Banking,Customer Service/Support,8
Technical Office Team Leader,Abu Gemeaa,New Cairo,Full Time,Manager,8.0,Engineering - Construction/Civil/Architecture,AutoCAD proficiency,8
Senior PMS Specialist,Alex Apparels for Garment Manufacturing,Ameria,Full Time,Experienced,5.0,Human Resources,Human Resources (HR),8
Administrative Assistant,Al-Bedeawi & Partners,Maadi,Full Time,Experienced,Unknown,Administration,Customer Service/Support,8
Compensation Benefits Specialist,Fawry Plus,Smart Village,Full Time,Experienced,2.0,Human Resources,HRIS,5
Sales Operations Specialist,SURE International Technology,Nasr City,Full Time,Experienced,3.0,Customer Service/Support,Operations/Management,4
Accounting Manager,Confidential,Mansheya,Full Time,Manager,Unknown,Accounting/Finance,Logistics/Supply Chain,8
Technical Office Engineer – Light Current Systems,Confidential,Haram,Full Time,Experienced,2.0,Creative/Design/Art,Engineering - Telecom/Technology,5
HR Admin,BTC-Egypt Gold,Cairo,Full Time,Experienced,Unknown,Administration,Human Resources,8
HR Assistant,الشرقية للضفائر الكهربائية -elsharkia for electric wiring harness,Belbes,Full Time,Experienced,2.0,Human Resources,Human Resources Administration,1
Senior planning and cost control engineer,MCC,6th of October,Full Time,Experienced,7.0,Engineering - Construction/Civil/Architecture,Project/Program Management,4
Production Engineer,Fabric Tex,10th of Ramadan City,Full Time,Experienced,1.0,Manufacturing/Production,Manufacturing/Production,9
Sales Outdoor Representative,OneCard,Nasr City,Full Time,Experienced,2.0,Sales/Retail,Outdoor Sales,7
Accounting Supervisor,Woodpro,Abu Rawash,Full Time,Manager,Unknown,Accounting/Finance,Financial reporting,7
L&D Senior Specialist,Minlo,New Nozha,Full Time,Experienced,5.0,Human Resources,Project/Program Management,8
Executive Assistant,Confidential,6th of October,Full Time,Experienced,2.0,Administration,Administration,8
Media Buyer,Levai & Loris,New Cairo,Full Time,Experienced,3.0,Marketing/PR/Advertising,Ads,8
Administrative Assistant,Arkemet,6th of October,Full Time,Experienced,2.0,Administration,Administration,8
Quality Assurance Specialist,Target for Chemicals industry and trade,Bourj Alarab,Full Time,Experienced,1.0,Quality,Quality Assurance,4
Foreign Purchasing Specialist,FRIDAL,Haram,Full Time,Entry Level,1.0,Logistics/Supply Chain,Purchasing/Procurement,6
Accountant,Dorra Group,Sheikh Zayed,Full Time,Entry Level,3.0,Accounting/Finance,Accounting,5
"Senior Full Stack Developer , Angular and dotnet",Datenlotsen,Cairo,Part Time,Experienced,3.0,IT/Software Development,Angular,7
Planning Engineer,Green Mass,New Cairo,Full Time,Entry Level,2.0,Engineering - Construction/Civil/Architecture,Construction Planning,4
Senior Treasury Accountant,Measuresoft oil and gas Services,Maadi,Full Time,Experienced,4.0,Accounting/Finance,Banking,4
Import logistics Section Head,Hyma Plastic,Heliopolis,Full Time,Experienced,3.0,Logistics/Supply Chain,Purchasing/Procurement,2
Administrative Assistant,Kiddy Corner Nursery,Heliopolis,Full Time,Entry Level,Unknown,Administration,Administration,4
"Accounting Manager ""Manufacturing Background""",Kasrawy Group,Abu Rawash,Full Time,Manager,Unknown,Accounting/Finance,Accounting Management,8
Sr. Accountant - Bookkeeping,Confidential,Maadi,Full Time,Experienced,4.0,Accounting/Finance,Banking,7
Digital Marketing Specialist,Scib Paints,Giza,Full Time,Experienced,2.0,Marketing/PR/Advertising,Digital,8
Junior Personnel Specialist,Confidential,10th of Ramadan City,Full Time,Entry Level,1.0,Human Resources,Human Resources,7
HPE Product Manager,Nahil Computers,Riyadh,Full Time,Experienced,3.0,IT/Software Development,Marketing/PR/Advertising,8
Clinic Administrator - Receptionist,Physiocare,Sheikh Zayed,Full Time,Experienced,Unknown,Administration,Customer Service/Support,8
Senior Laravel PHP Developer,Confidential,Dokki,Full Time,Experienced,7.0,IT/Software Development,PHP,8
SRO Coordinator (Student Relations Coordinator),Universities of Canada in Egypt,New Capital,Full Time,Entry Level,1.0,Customer Service/Support,Communication,3
Senior Java Developer,egabi solutions,Rehab City,Full Time,Experienced,3.0,IT/Software Development,Engineering - Telecom/Technology,8
Costing Supervisor.,Pyramid Poultry,Alsadat City,Full Time,Experienced,5.0,Accounting/Finance,Budgeting and Forecasting,6
Sales Representative,Confidential,Mokattam,Full Time,Experienced,2.0,Customer Service/Support,Sales/Retail,8
CRM Manager,Vantage Developments,New Cairo,Full Time,Manager,7.0,Customer Service/Support,Customer Engagement,3
Customer Support Agent - English,Intouch CX,Maadi,Full Time,Entry Level,0.0,Customer Service/Support,Customer Service,7
Customer Support Representative,Dorra Group,Sheikh Zayed,Full Time,Entry Level,1.0,Customer Service/Support,Communication skills,6
Social Media Specialist,Digital Avenue ltd,Nasr City,Full Time,Experienced,1.0,Marketing/PR/Advertising,Content Creation,6
Cost Accountant,Growxcel,Cairo,Full Time,Experienced,3.0,Accounting/Finance,Accounting/Finance,8
Material's and production planning ( Background Foods ),Marbella For Food Industry,6th of October,Full Time,Experienced,3.0,Manufacturing/Production,Manufacturing/Production,9
Personnel Specialist,TRAVCO GROUP,Sheikh Zayed,Full Time,Experienced,2.0,Administration,Human Resources,8
Route-to-Market & Sales Planning Specialist (GIS),AJE,6th of October,Full Time,Experienced,3.0,Operations/Management,Arc GIS,4
IT Specialist,Option Travel,Maadi,Full Time,Experienced,4.0,Installation/Maintenance/Repair,IT/Software Development,2
Order Management Specialist,Eat Good,Cairo,Full Time,Entry Level,1.0,Customer Service/Support,Sales/Retail,2
Executive Secretary,Linrco Egypt,Nasr City,Full Time,Experienced,3.0,Administration,Administration,9
Logistics Coordinator,DSV Solutions S.A.E,New Cairo,Full Time,Entry Level,1.0,Customer Service/Support,Logistics/Supply Chain,4
HR Administrator,Manzomat Assas,Cairo,Full Time,Entry Level,1.0,Sales/Retail,HR administration,5
Financial Manager,Raya,6th of October,Full Time,Manager,4.0,Accounting/Finance,Finance,1
Steel Technical Office Engineer,IMUT International Marathon United Technology,Obour City,Full Time,Experienced,2.0,Engineering - Construction/Civil/Architecture,Civil,6
Key Account & E-Commerce Manager – FMCG (Beverage Focus),Soudanco,Heliopolis,Full Time,Manager,5.0,Business Development,Customer Service/Support,6
Store Keeper,MasterPET,10th of Ramadan City,Shift Based,Entry Level,3.0,Logistics/Supply Chain,Stores Management,2
Payroll & Personnel Executive,ACT CS For Feasibility Studies,Nasr City,Full Time,Experienced,Unknown,Accounting/Finance,Human Resources,8
Senior Foreign Purchasing Specialist,Swiss Garment Company,10th of Ramadan City,Full Time,Experienced,3.0,Logistics/Supply Chain,Logistics/Supply Chain,9
Quality Control Specialist,Masria Digital Payment (MDP),10th of Ramadan City,Full Time,Entry Level,1.0,Manufacturing/Production,Quality,8
Technology Specialist,Confidential,Maadi,Part Time,Entry Level,0.0,Administration,Creative/Design/Art,6
Architecture Technical Office Engineer,Confidential,Sheikh Zayed,Full Time,Experienced,3.0,Engineering - Construction/Civil/Architecture,Creative/Design/Art,5
Operations Supervisor At e& CX Solutions,Etisalat Egypt,6th of October,Full Time,Manager,Unknown,Operations/Management,Team Leadership,8
Sales Account Manager,Osolutions,Nasr City,Full Time,Experienced,2.0,Business Development,Account Management,2
Production Manager,one2twelve,Haram,Full Time,Manager,Unknown,Operations/Management,Manufacturing/Production,8
Finished Good Storekeeper,Dabur,10th of Ramadan City,Full Time,Experienced,3.0,Logistics/Supply Chain,Logistics,2
Production Manager,Print Hub,Abu Rawash,Full Time,Manager,Unknown,Operations/Management,Operations/Management,9
Senior UI/UX Designer,Softxpert Incorporation,Bolkly,Full Time,Experienced,Unknown,Creative/Design/Art,IT/Software Development,8
Senior Accountant (Inventory),Al Mostafa For Trading And Supplies,Obour City,Full Time,Experienced,Unknown,Accounting/Finance,Accounting/Finance,9
IT Supervisor,Confidential,Alexandria,Full Time,Manager,6.0,IT/Software Development,IT Operations Management,7
Logistics Officer (Permittee),"My Truck Logistics, LLC",Cairo,Full Time,Experienced,Unknown,Logistics/Supply Chain,Logistics,6
Fleet Supervisor,Shabana Group,Obour City,Full Time,Manager,5.0,Administration,Logistics/Supply Chain,7
Personnel Specialist,El Mohandess Print House,10th of Ramadan City,Full Time,Experienced,3.0,Human Resources,Human Resources,5
General Accountant,QUARTZ water solution,Obour City,Full Time,Experienced,Unknown,Accounting/Finance,Banking,5
Plumbing / FireFighting BIM Engineer,ACE Consulting Engineers  (Moharram - Bakhoum,Dokki,Full Time,Experienced,3.0,Engineering - Mechanical/Electrical,BIM Modeling,6
IT Specialist,Dakahlia Group,Mit Ghamr,Full Time,Entry Level,1.0,IT/Software Development,Network Administration,5
Network Engineer,Confidential,Misratah,Full Time,Experienced,2.0,IT/Software Development,Engineering - Telecom/Technology,5
Distribution Manager,Confidential,Giza,Full Time,Manager,Unknown,Operations/Management,Sales/Retail,7
Solution Architect,Confidential,Riyadh,Full Time,Experienced,7.0,IT/Software Development,Engineering - Telecom/Technology,3
Senior Odoo Developer,Smart Technology Solutions,Cairo,Full Time,Experienced,2.0,IT/Software Development,Engineering - Telecom/Technology,5
Accountant,Blue Rock,New Cairo,Full Time,Experienced,Unknown,Accounting/Finance,Accounting/Finance,9
Industrial Cost Accountant - El Sadat City,Fine seeds Int.,Agouza,Full Time,Experienced,3.0,Accounting/Finance,Industrial cost analysis,1
Call Center Agent,Click ITS,Nasr City,Full Time,Experienced,Unknown,Administration,Customer Service/Support,5
Talent Acquisition Specialist,ADC-Architecture&Design Consultants,Sheikh Zayed,Full Time,Experienced,2.0,Human Resources,Recruitment,5
Senior Software Technical Support Engineer,GET Group- Egypt,Sheraton,Full Time,Experienced,5.0,IT/Software Development,Engineering - Telecom/Technology,8
Senior Production Engineer,Dr.Greiche,10th of Ramadan City,Full Time,Experienced,4.0,Manufacturing/Production,Manufacturing/Production,6
Senior Marketing Specialist,amjaad Technology,Maadi,Full Time,Experienced,3.0,Marketing/PR/Advertising,Digital Marketing,1
Social Media Specialist,United Developments,New Cairo,Freelance / Project,Experienced,1.0,Marketing/PR/Advertising,Content Creation,2
Database Administrator (SQL Server & Oracle),WSC,Giza,Full Time,Experienced,2.0,IT/Software Development,SQL,8
Administrative Assistant,Gazelle Trade,New Cairo,Full Time,Experienced,2.0,Administration,Administration,9
Accountant,ElTarek Group,Katameya,Full Time,Experienced,3.0,Accounting/Finance,Administration,8
Mechanical Engineer,RITEC,Maadi,Full Time,Entry Level,0.0,Engineering - Mechanical/Electrical,Mechanical Engineering,8
Sales Manager,Fintech Media,Alhadra,Full Time,Manager,4.0,Accounting/Finance,Sales/Retail,3
Chief Accountant,Egypt Kuwait Holding,10th of Ramadan City,Full Time,Senior Management,Unknown,Accounting/Finance,Financial Reporting,7
Senior IT Specialist,Deutschland Technology Limited,Obour City,Full Time,Experienced,7.0,IT/Software Development,Engineering - Telecom/Technology,6
HR Manager,Gazelle Envelope Manufacturers,6th of October,Full Time,Manager,5.0,Administration,Human Resources,8
Costing Supervisor,Pyramid Poultry,Alsadat City,Full Time,Experienced,5.0,Accounting/Finance,Accounting/Finance,8
Digital Marketing Manager,Aldabboos Group,Sheraton,Full Time,Manager,7.0,Marketing/PR/Advertising,Sales/Retail,8
General Ledger Accountant,Genpact,New Cairo,Full Time,Experienced,3.0,Accounting/Finance,General Ledger Accounting,8
Senior Planning Engineer,SHM Industries,Obour City,Full Time,Senior Management,5.0,Manufacturing/Production,Engineering - Mechanical/Electrical,5
ERP Consultant,Fixed Solutions,Sheraton,Full Time,Experienced,5.0,IT/Software Development,Business Process Analysis,7
Senior Budgeting Accountant,Amreyah Cement,Nasr City,Full Time,Experienced,3.0,Accounting/Finance,Analyst/Research,8
Site Technical Office Engineer - Civil,Construction Management Systems,New Cairo,Full Time,Experienced,2.0,Engineering - Construction/Civil/Architecture,Engineering,5
Site Technical Office Engineer - Architecture,Construction Management Systems,New Cairo,Full Time,Experienced,Unknown,Engineering - Construction/Civil/Architecture,Engineering,5
Finance Manager,Egypt Kuwait Holding,10th of Ramadan City,Full Time,Manager,Unknown,Accounting/Finance,Budgeting and Forecasting,6
Production Engineer,Unistar,Badr City,Full Time,Entry Level,0.0,Manufacturing/Production,Manufacturing/Production,7
Account Manager,Televirgins,Heliopolis,Full Time,Manager,2.0,Marketing/PR/Advertising,Account Management,3
Accountant,Agrovine Egypt,Wadi Alnatrun,Full Time,Experienced,3.0,Accounting/Finance,Administration,2
HR Manager,GMC Contracting,Cairo,Full Time,Experienced,10.0,Administration,Human Resources,8
Quality Control Engineer,Confidential,Mokattam,Full Time,Experienced,3.0,Engineering - Construction/Civil/Architecture,Quality,4
Secretary,Orbit technology,Madina,Full Time,Experienced,0.0,Administration,Operations/Management,6
Customer Service Manager,Confidential,New Cairo,Full Time,Manager,4.0,Administration,Customer Service/Support,8
Senior Accountant,Confidential,Nasr City,Full Time,Experienced,3.0,Accounting/Finance,Accounting/Finance,6
