Title,company,location,job_type,work_mode,Experience_level,Experience_year,categories,department,skills
"VIE - Associate Manager, Demand and Supply – MEATR","Kendo Brands, Inc.","Dubai, United Arab Emirates",Full Time,,Experienced,Customer Service/Support,Customer Service/Support,Education/Teaching,"['customer service', 'call center', 'customer care', 'customer support', 'sales', 'analysis', 'engineering']"
Financial Analyst,Raqtan,"Riyadh, Saudi Arabia",Full Time,,Entry Level,Accounting/Finance,Accounting/Finance,Analyst/Research,"['Finance', 'Financial Analysis', 'Accounting', 'Commerce', 'Microsoft Office', 'Financial Management', 'Analysis']"
General Ledger Accountant,Emdad Al Khebrat,"Riyadh, Saudi Arabia",Freelance / Project,,Entry Level,Accounting/Finance,Accounting/Finance,Logistics/Supply Chain,"['Accounting', 'Finance', 'Financial Analysis', 'Financial Management', 'Commerce', 'Microsoft Office', 'English']"
Digital Marketing Strategist,Loyal To Cumbria,"Dubai, United Arab Emirates",Full Time,,Entry Level,Creative/Design/Art,Creative/Design/Art,Media/Journalism/Publishing,"['Marketing', 'Social Media', 'Digital Marketing', 'E-marketing', 'Media', 'SEO', 'Market Research']"
Renewals Consultant,International Free Zone Authority | IFZA,"Dubai, United Arab Emirates",Full Time,,Experienced,Business Development,Business Development,Engineering - Mechanical/Electrical,"['sales', 'sales skills', 'customer service', 'customer care', 'crm', 'english', 'insurance']"
Head of Commercial,Arcera,"Dubai, United Arab Emirates",Full Time,,Experienced,Business Development,Business Development,Sales/Retail,"['Sales', 'Management', 'Marketing', 'Sales Skills', 'Analysis', 'Advertising', 'B2B']"
Digital Marketing Specialist,BIZ EASY,"Dubai, United Arab Emirates",Full Time,,Entry Level,Marketing/PR/Advertising,Marketing/PR/Advertising,Media/Journalism/Publishing,"['Marketing', 'Social Media', 'Digital Marketing', 'E-marketing', 'Media', 'SEO', 'Market Research']"
Business Intelligence Analyst,Loyal To Cumbria,"Dubai, United Arab Emirates",Full Time,,Experienced,IT/Software Development,IT/Software Development,Engineering - Telecom/Technology,"['Business Analysis', 'Information Technology (IT)', 'Computer Science', 'Analysis', 'Software Development', 'Software', 'Computer Engineering']"
Security Delivery Associate Manager,Accenture Middle East,"Riyadh, Saudi Arabia",Full Time,,Experienced,IT/Software Development,IT/Software Development,Engineering - Telecom/Technology,"['information technology (it)', 'computer science', 'engineering', 'microsoft office', 'management', 'communication skills', 'design']"
L2 Support Engineer - Web Applications,DXC Technology,"Riyadh, Saudi Arabia",Full Time,,Experienced,Installation/Maintenance/Repair,Installation/Maintenance/Repair,Engineering - Telecom/Technology,"['Computer Science', 'Information Technology (IT)', 'Engineering', 'Technical Support', 'Customer Support', 'Telecommunication', 'CCNA']"
Procurement Graduate Engineer - Saudi National,Parsons Corporation,"Riyadh, Saudi Arabia",Full Time,,Entry Level,Engineering - Construction/Civil/Architecture,Engineering - Construction/Civil/Architecture,Engineering - Mechanical/Electrical,"['Procurement', 'Engineering', 'Purchasing', 'Mechanical Engineering', 'Construction', 'Civil Engineering', 'Electrical Engineering']"
PRADA Client Advisor,Prada Group,"Dubai, United Arab Emirates",Full Time,,Experienced,Customer Service/Support,Customer Service/Support,Sales/Retail,"['customer service', 'sales', 'customer support', 'customer care', 'sales target', 'english', 'crm']"
Product Marketing Manager,RetailEXPO,"Riyadh, Saudi Arabia",Full Time,,Entry Level,Marketing/PR/Advertising,Marketing/PR/Advertising,Media/Journalism/Publishing,"['Marketing', 'Social Media', 'Market Research', 'E-marketing', 'Digital Marketing', 'Media', 'Sales']"
Technology Enablement AI Engineer,"Super Micro Computer Spain, S.L.","Dubai, United Arab Emirates",Full Time,,Entry Level,IT/Software Development,IT/Software Development,Engineering - Mechanical/Electrical,"['information technology (it)', 'computer science', 'computer engineering', 'software development', 'python', 'docker', 'sales']"
"Senior Office, Marketing and Communication",M42 Health,"Dubai, United Arab Emirates",Full Time,,Entry Level,Administration,Administration,Media/Journalism/Publishing,"['Marketing', 'Advertising', 'Social Media', 'E-marketing', 'Media', 'Administration', 'Adobe Create Suite']"
Security Manager,Accenture Middle East,"Riyadh, Saudi Arabia",Full Time,,Experienced,Administration,Administration,Engineering - Telecom/Technology,"['Security', 'Information Technology (IT)', 'Computer Science', 'Engineering', 'Administration', 'Management', 'Computer Engineering']"
Senior Document Controller,Parsons Corporation,"Riyadh, Saudi Arabia",Full Time,,Manager,Administration,Administration,Quality,"['Administration', 'Quality Control', 'Microsoft Office', 'Computer Science', 'Quality Assurance', 'Information Technology (IT)', 'Document Control']"
Head of Sales & Marketing (SaaS),Qureos,"Makkah, Saudi Arabia",Full Time,,Manager,Business Development,Business Development,Sales/Retail,"['Sales', 'Sales Skills', 'Sales Target', 'Customer Service', 'Management', 'Customer Care', 'Customer Support']"
Process & Quality Engineer,Glow Beauty on Demand,"Dubai, United Arab Emirates",Full Time,,Entry Level,IT/Software Development,IT/Software Development,Engineering - Mechanical/Electrical,"['Engineering', 'Computer Science', 'Information Technology (IT)', 'Mechanical Engineering', 'Production', 'Quality', 'Software Development']"
HR Generalist (Talent Acquisition & HR Operations),PwC,"Riyadh, Saudi Arabia",Full Time,,Experienced,Administration,Administration,Human Resources,"['Human Resources (HR)', 'Recruitment', 'Personnel', 'Microsoft Office', 'HR', 'Payroll', 'Training']"
IT Associate,Sanabil Studio,"Riyadh, Saudi Arabia",Full Time,,Entry Level,Installation/Maintenance/Repair,Installation/Maintenance/Repair,Engineering - Telecom/Technology,"['Information Technology (IT)', 'Computer Science', 'Installation', 'Technical Support', 'Help Desk', 'Networking', 'Software Engineering']"
Lead General Project Analyst,stc,"Riyadh, Saudi Arabia",Full Time,,Experienced,IT/Software Development,IT/Software Development,Sales/Retail,"['sales', 'sales skills', 'marketing', 'information technology (it)', 'project management', 'management', 'analysis']"
Project Controls Manager,AtkinsRéalis,"Riyadh, Saudi Arabia",Full Time,,Experienced,Engineering - Construction/Civil/Architecture,Engineering - Construction/Civil/Architecture,Project/Program Management,"['Project Management', 'Engineering', 'PMP', 'Information Technology (IT)', 'Civil Engineering', 'Computer Science', 'Management']"
Document Controller,AtkinsRéalis,"Riyadh, Saudi Arabia",Full Time,,Manager,Administration,Administration,Quality,"['Administration', 'Document Control', 'Microsoft Office', 'Admin', 'Construction', 'Engineering', 'English']"
Cluster Accounts Payable Supervisor,Marriott International,"Riyadh, Saudi Arabia",Full Time,,Experienced,Accounting/Finance,Accounting/Finance,Sales/Retail,"['accounting', 'finance', 'financial analysis', 'financial management', 'payroll', 'financial', 'assets']"
Assistant Chief Accountant,Marriott International,"Riyadh, Saudi Arabia",Full Time,,Experienced,Accounting/Finance,Accounting/Finance,Operations/Management,"['Finance', 'Accounting', 'Financial Management', 'Financial Analysis', 'Microsoft Office', 'Commerce', 'ERP']"
Functional Consultant MEA&I,"LS Retail, an Aptos Company","Dubai, United Arab Emirates",Full Time,,Experienced,Accounting/Finance,Accounting/Finance,Engineering - Telecom/Technology,"['Information Technology (IT)', 'Computer Science', 'ERP', 'Accounting', 'Finance', 'Oracle', 'Odoo']"
Beverage R&D Lead (Product Development) — Joud Coffee,Joud Coffee,"Dubai, United Arab Emirates",Freelance / Project,,Experienced,R&D/Science,R&D/Science,Engineering - Other,"['engineering', 'information technology (it)', 'computer science', 'r&amp;d', 'marketing', 'quality', 'design']"
Network Infrastructure Engineer,Emdad Al Khebrat,"Makkah, Saudi Arabia",Full Time,,Entry Level,Installation/Maintenance/Repair,Installation/Maintenance/Repair,Engineering - Telecom/Technology,"['Information Technology (IT)', 'Computer Science', 'Engineering', 'Networking', 'Computer Engineering', 'CCNA', 'Networks']"
IT Operations Support Specialist (2023311),Nahdi Medical Co.,"Dubai, United Arab Emirates",Full Time,,Entry Level,Installation/Maintenance/Repair,Installation/Maintenance/Repair,Engineering - Telecom/Technology,"['Information Technology (IT)', 'Computer Science', 'Technical Support', 'Installation', 'Customer Support', 'Maintenance', 'Customer Service']"
Assistant Manager - Financial Analysis & Reporting,Lucy Group Ltd,"Riyadh, Saudi Arabia",Full Time,,Experienced,Administration,Administration,Operations/Management,"['Administration', 'Office Management', 'Microsoft Office', 'Secretary', 'Admin Assistant', 'Admin', 'Customer Service']"
Retail Commercial Officer,Etihad,"Dubai, United Arab Emirates",Freelance / Project,,Experienced,Accounting/Finance,Accounting/Finance,Sales/Retail,"['Sales', 'Retail', 'Commercial', 'Business Development', 'Commercial Activities', 'Commercial Director', 'Fashion Retail']"
Strategic Planning Analyst,Loyal To Cumbria,"Dubai, United Arab Emirates",Full Time,,Experienced,Accounting/Finance,Accounting/Finance,Strategy/Consulting,"['Finance', 'Financial Analysis', 'Accounting', 'Planning', 'Analysis', 'Budgeting', 'Commerce']"
Full-Stack Developer - Backend Oriented,Pragmatike,"Dubai, United Arab Emirates",Full Time,,Not specified,Creative/Design/Art,Creative/Design/Art,Engineering - Telecom/Technology,"['Information Technology (IT)', 'Computer Science', 'Software Development', 'javaScript', 'CSS', 'Full Stack', 'HTML']"
Assistant Project Manager,Greenfix Property Care,"Riyadh, Saudi Arabia",Full Time,,Experienced,Engineering - Construction/Civil/Architecture,Engineering - Construction/Civil/Architecture,Project/Program Management,"['Project Management', 'Engineering', 'PMP', 'Information Technology (IT)', 'Microsoft Office', 'Management', 'Computer Science']"
Practice Lead: Connectivity & Network,Capgemini Engineering,"Riyadh, Saudi Arabia",Full Time,,Experienced,IT/Software Development,IT/Software Development,Engineering - Telecom/Technology,"['information technology (it)', 'marketing', 'computer science', 'social media', 'engineering', 'management', 'software']"
